,unique_id,radius,pre_buf_r,pre_buf_x0,pre_ring_r,pre_ring_x0,post_buf_r,post_buf_x0,post_ring_r,post_ring_x0,total_ring_r,total_ring_x0,buff_diff_growth,ring_diff_growth,ring_buff_diff
78,COL11,10000,0.003640122773,9.155403286,0.005316544692,0.2930028565,0.01846249683,1.50E-12,0.01267144148,1.29E-07,0.007744525783,0.002359269897,0.01482237406,0.007354896786,0.007467477275
79,COL12,10000,0.01091712961,5.11E-06,0.02695362841,4.68E-20,0.01026570857,1.87E-05,0.0167231463,2.39E-11,0.02097400104,5.49E-15,-0.0006514210361,-0.01023048211,0.009579061078
80,COL14,10000,0.008281925957,5.05E-05,0.05071618766,1.45E-41,0.1836476793,5.49E-145,0.2778720893,1.79E-212,0.09314089564,6.13E-76,0.1753657534,0.2271559017,-0.05179014831
81,COL17,10000,0.01268464726,1.32E-07,0.009800891642,2.82E-05,0.0262653896,3.09E-19,0.04264725316,3.09E-33,0.01544622089,4.06E-10,0.01358074234,0.03284636152,-0.01926561918
82,COL18,10000,0.03718653181,6.17E-29,0.01528217869,2.90E-10,0.05885693919,5.67E-47,0.03923871111,1.21E-30,0.01858464313,4.39E-13,0.02167040738,0.02395653241,-0.002286125034
84,COL20,10000,0.01366762091,1.75E-08,0.03079314032,1.11E-23,0.03442940271,3.30E-26,0.04848920899,1.48E-38,0.03348653112,6.00E-26,0.0207617818,0.01769606867,0.003065713134
85,COL21,10000,0.008545002791,0.000569368899,0.01124378117,2.22E-06,0.01613859716,1.60E-10,0.01763610569,6.90E-12,0.01213737355,3.79E-07,0.007593594369,0.006392324527,0.001201269842
86,COL23,10000,0.01348718313,9.52E-09,0.01150824763,5.62E-07,-8.48E-06,4660.686271,0.008494658039,0.0002187001677,0.009795521485,1.67E-05,-0.01349566281,-0.003013589587,-0.01048207322
87,COL24,10000,0.0238903634,1.09E-17,0.01139437669,2.09E-07,0.02467348788,2.32E-18,0.05545253016,1.63E-44,0.03475792552,3.13E-27,0.0007831244834,0.04405815346,-0.04327502898
88,COL25,10000,0.04511528075,2.31E-35,0.03734538326,6.19E-29,0.01452016403,1.77E-09,0.00452746371,0.6868525599,0.02733072825,1.63E-20,-0.03059511672,-0.03281791955,0.002222802829
89,COL26,10000,0.02369884769,1.88E-17,0.02193531943,2.62E-16,0.05972584963,1.06E-47,0.1226965729,1.64E-98,0.03275863078,1.86E-25,0.03602700194,0.1007612535,-0.06473425153
90,COL27,10000,0.009103602101,9.52E-05,0.02269619528,1.14E-16,0.02831640662,3.15E-21,0.05937543222,1.70E-47,0.02453800288,3.11E-18,0.01921280452,0.03667923694,-0.01746643242
91,COL3,10000,0.01834918126,1.62E-12,0.009628660481,4.38E-05,0.01992521757,6.84E-14,0.01823359868,1.54E-12,0.006205464856,0.03855450416,0.00157603631,0.0086049382,-0.007028901889
